id,ref_type,start_offset,end_offset,duration
27,mux,83109,148273,65164
27,mux,232055,259982,27927
27,mux,264636,283255,18619
27,trans,-672,78455,79127
27,trans,152927,222745,69818
27,trans,287909,367036,79127
27,trans,232055,259982,27927
27,trans,83109,148273,65164
27,trans,264636,283255,18619
28,mux,32091,325327,293236
28,mux,-381,27436,27817
28,trans,32091,325327,293236
28,trans,-490,27436,27926
29,mux,275000,312236,37236
29,mux,256382,261036,4654
29,mux,509,112091,111582
29,mux,186564,205182,18618
29,mux,144673,181909,37236
29,mux,116745,140018,23273
29,mux,214491,247073,32582
29,trans,256364,261018,4654
29,trans,274982,312218,37236
29,trans,382,112091,111709
29,trans,186545,205164,18619
29,trans,144655,177255,32600
29,trans,116727,140018,23291
29,trans,214473,247055,32582
30,mux,84800,201164,116364
30,mux,56873,61527,4654
30,mux,19636,52218,32582
30,mux,1382,15345,13963
30,mux,66182,80145,13963
30,mux,295764,300418,4654
30,trans,168564,201145,32581
30,trans,5673,14964,9291
30,trans,84782,163927,79145
30,trans,19618,52200,32582
30,trans,56855,80127,23272
30,trans,295764,300418,4654
31,mux,-126,13836,13962
31,mux,102255,125527,23272
31,mux,251200,330327,79127
31,mux,130182,195345,65163
31,mux,200000,241891,41891
31,mux,23127,51055,27928
31,mux,55709,83636,27927
31,trans,-144,13818,13962
31,trans,23127,37073,13946
31,trans,251200,330327,79127
31,trans,102255,125509,23254
31,trans,130182,195345,65163
31,trans,55709,69655,13946
31,trans,200000,241891,41891
31,trans,41745,51055,9310
31,trans,74327,83618,9291
32,mux,28964,149982,121018
32,mux,177909,196527,18618
32,mux,210491,224545,14054
32,mux,248073,257382,9309
32,mux,234000,243345,9345
32,mux,1400,15364,13964
32,mux,146836,151491,4655
32,mux,146636,151291,4655
32,mux,266691,280655,13964
32,mux,14982,24309,9327
32,mux,148382,153036,4654
32,trans,28964,149982,121018
32,trans,177909,196527,18618
32,trans,210491,224545,14054
32,trans,1036,15000,13964
32,trans,234000,243345,9345
32,trans,248073,257382,9309
32,trans,146836,151491,4655
32,trans,146636,151291,4655
32,trans,266709,280655,13946
33,mux,13800,88273,74473
33,mux,17636,26945,9309
33,mux,345400,354709,9309
33,mux,333218,342527,9309
33,mux,102600,107255,4655
33,mux,182,14127,13945
33,mux,358509,363164,4655
33,mux,201782,211091,9309
33,mux,348327,352982,4655
33,mux,15527,20182,4655
33,trans,17655,26964,9309
33,trans,4491,88273,83782
33,trans,345400,354709,9309
33,trans,333218,342527,9309
33,trans,102600,107255,4655
33,trans,358527,363182,4655
33,trans,201782,211091,9309
33,trans,348327,352982,4655
33,trans,15527,20182,4655
34,mux,111164,120473,9309
34,mux,148400,241491,93091
34,mux,92545,143745,51200
34,mux,50655,59964,9309
34,mux,95018,99673,4655
34,mux,246145,250800,4655
34,mux,274073,278727,4654
34,mux,255455,264764,9309
34,mux,73927,83236,9309
34,mux,104327,108982,4655
34,trans,111164,120473,9309
34,trans,148400,241491,93091
34,trans,92545,143745,51200
34,trans,50655,59964,9309
34,trans,95018,99673,4655
34,trans,246145,250800,4655
34,trans,255455,264764,9309
34,trans,274073,278727,4654
34,trans,73927,83236,9309
34,trans,22727,27382,4655
34,trans,8764,13418,4654
34,trans,104309,108964,4655
35,mux,38436,159455,121019
35,mux,15164,29127,13963
35,mux,6255,15564,9309
35,trans,38436,159455,121019
35,trans,5855,29127,23272
36,mux,491,293527,293036
36,trans,291,293527,293236
37,mux,62600,90527,27927
37,mux,20709,57945,37236
37,mux,141727,346527,204800
37,mux,-2217,16400,18617
37,mux,95182,132418,37236
37,trans,62600,90527,27927
37,trans,20709,57945,37236
37,trans,-2563,16055,18618
37,trans,141727,346527,204800
37,trans,95182,132418,37236
38,mux,88127,102091,13964
38,mux,176564,213800,37236
38,mux,183473,188127,4654
38,mux,358091,367400,9309
38,mux,32273,55545,23272
38,mux,218455,348782,130327
38,mux,13655,18309,4654
38,mux,130018,171909,41891
38,mux,111400,125364,13964
38,mux,64855,74164,9309
38,mux,42818,47473,4655
38,mux,73,14036,13963
38,mux,337255,341909,4654
38,trans,88127,102091,13964
38,trans,183491,188145,4654
38,trans,176564,213800,37236
38,trans,358091,367400,9309
38,trans,32273,50891,18618
38,trans,218455,348782,130327
38,trans,130036,171909,41873
38,trans,-308,18309,18617
38,trans,111400,125364,13964
38,trans,42836,47491,4655
38,trans,64855,74164,9309
38,trans,337255,341909,4654
39,mux,175927,194545,18618
39,mux,64218,96800,32582
39,mux,106109,157309,51200
39,mux,13018,45600,32582
39,mux,222473,292291,69818
39,mux,199200,217818,18618
39,mux,-690,13273,13963
39,trans,175927,194545,18618
39,trans,106109,152655,46546
39,trans,64218,96800,32582
39,trans,3709,45600,41891
39,trans,222473,259709,37236
39,trans,264364,287636,23272
39,trans,199200,217818,18618
40,mux,-1835,12127,13962
40,trans,-2126,11836,13962
41,mux,206109,317818,111709
41,mux,154909,196800,41891
41,mux,80436,150255,69819
41,mux,1673,15636,13963
41,mux,15273,75782,60509
41,trans,206109,317818,111709
41,trans,154909,196800,41891
41,trans,1309,19927,18618
41,trans,24600,150255,125655
42,mux,-399,264745,265144
42,trans,-563,264745,265308
43,mux,126909,145527,18618
43,mux,196727,210691,13964
43,mux,247945,294491,46546
43,mux,220000,243273,23273
43,mux,154855,192091,37236
43,mux,108291,122255,13964
43,mux,61764,98982,37218
43,mux,47782,57091,9309
43,mux,15200,43145,27945
43,trans,126927,145545,18618
43,trans,247945,294491,46546
43,trans,220018,243291,23273
43,trans,154855,192091,37236
43,trans,108309,122273,13964
43,trans,61764,99000,37236
43,trans,196745,215364,18619
43,trans,47800,57109,9309
43,trans,15218,43145,27927
44,mux,-1417,12545,13962
44,mux,193764,235655,41891
44,mux,240309,258927,18618
44,mux,147218,189109,41891
44,mux,105327,133255,27928
44,mux,268236,277545,9309
44,mux,30855,86709,55854
44,mux,137909,142564,4655
44,mux,12236,16891,4655
44,trans,-1726,16891,18617
44,trans,203073,235673,32600
44,trans,105345,133255,27910
44,trans,137927,189109,51182
44,trans,44836,86709,41873
44,trans,240309,263600,23291
44,trans,268255,277545,9290
44,trans,193782,198436,4654
44,trans,30855,40182,9327
45,mux,137582,188782,51200
45,mux,193436,328418,134982
45,mux,25873,128273,102400
45,mux,-1981,21218,23199
45,trans,137564,188764,51200
45,trans,193436,328400,134964
45,trans,-2054,128255,130309
46,mux,115909,218291,102382
46,mux,-235,13727,13962
46,mux,36782,74018,37236
46,mux,13491,32109,18618
