id,ref_type,start_offset,end_offset,avg_ber,duration,,,,
73,trans,3200,40436,0.204041359,37236,,,,
74,mux,-1944,35182,0.208802451,37126,,,,
74,trans,-2054,35182,0.212037266,37236,,,,
75,mux,15509,62055,0.142185937,46546,,,,
75,mux,24309,28964,0.174316,4655,,,,
75,mux,24273,28927,0.180176,4654,,,,
75,mux,6491,15800,0.2028805,9309,,,,
75,mux,22673,27327,0.244629,4654,,,,
75,trans,6200,62055,0.155313828,55855,,,,
75,trans,24309,28964,0.198242,4655,,,,
75,trans,24273,28927,0.19873,4654,,,,
75,trans,22691,27345,0.218262,4654,,,,
76,mux,14855,28818,0.193685,13963,,,,
76,mux,1000,10309,0.2407225,9309,,,,
76,trans,14873,28836,0.199544333,13963,,,,
76,trans,909,10218,0.244141,9309,,,,
79,mux,727,47164,0.120015653,46437,,,,
79,trans,618,47164,0.1115193,46546,,,,
81,mux,382,23491,0.108009231,23109,,,,
81,mux,28145,51418,0.185935713,23273,,,,
81,mux,-2508,2145,0.298828,4653,,,,
81,trans,218,18836,0.104614708,18618,,,,
81,trans,23509,51418,0.205970553,27909,,,,
81,trans,-2654,2000,0.321777,4654,,,,
83,mux,600,28345,0.214437238,27745,,,,
83,trans,436,28364,0.204834649,27928,,,,
84,mux,-235,32145,0.195240604,32380,,,,
84,trans,-435,32145,0.198658356,32580,,,,
85,mux,15927,57818,0.109213204,41891,,,,
85,mux,-2363,16255,0.205933306,18618,,,,
85,trans,-2690,57818,0.121617617,60508,,,,
86,mux,582,14545,0.173177333,13963,,,,
86,mux,14218,28182,0.210124,13964,,,,
86,trans,255,28182,0.161378159,27927,,,,
87,mux,1800,15764,0.150879,13964,,,,
87,mux,34145,48109,0.19694,13964,,,,
87,mux,20182,29491,0.2421875,9309,,,,
87,trans,1564,15527,0.137695333,13963,,,,
87,trans,24836,29491,0.142578,4655,,,,
87,trans,34145,48109,0.198079333,13964,,,,
88,mux,-54,13909,0.120117612,13963,,,,
88,trans,-235,13745,0.14176424,13980,,,,
90,mux,27491,46109,0.145141127,18618,,,,
90,mux,-163,13800,0.306966333,13963,,,,
90,trans,27491,46109,0.127074194,18618,,,,
90,trans,-435,13527,0.308756333,13962,,,,
91,mux,1673,10982,0.139893,9309,,,,
91,mux,15436,20091,0.188477,4655,,,,
91,mux,48018,57327,0.223877,9309,,,,
91,mux,34055,43364,0.249756,9309,,,,
91,mux,24745,29400,0.265625,4655,,,,
91,trans,1473,10782,0.152588,9309,,,,
91,trans,15436,20091,0.196289,4655,,,,
91,trans,48000,57327,0.2282715,9327,,,,
91,trans,34055,43364,0.24292,9309,,,,
91,trans,24745,29400,0.269043,4655,,,,
92,mux,26218,44836,0.220579866,18618,,,,
92,mux,16909,21564,0.29541,4655,,,,
92,mux,-1490,7818,0.313721,9308,,,,
92,trans,26200,44836,0.235228261,18636,,,,
92,trans,2927,7582,0.289062,4655,,,,
92,trans,16909,21564,0.29248,4655,,,,
95,mux,1036,24200,0.172365854,23164,,,,
95,trans,909,24200,0.159962971,23291,,,,
96,mux,1127,33655,0.260601739,32528,,,,
96,trans,1055,33636,0.237581723,32581,,,,
98,mux,17836,59709,0.236706869,41873,,,,
98,trans,17836,59709,0.220538802,41873,,,,
99,mux,15091,19745,0.20166,4654,,,,
99,mux,24382,33709,0.330078,9327,,,,
99,trans,10418,19745,0.2788085,9327,,,,
99,trans,24400,29055,0.318359,4655,,,,
101,mux,50473,55127,0.193359,4654,,,,
101,mux,8709,13364,0.329102,4655,,,,
101,trans,50473,55127,0.200684,4654,,,,
101,trans,-726,13236,0.306152,13962,,,,
101,trans,27200,31855,0.326172,4655,,,,
102,mux,26636,31291,0.153809,4655,,,,
102,mux,3418,21982,0.17101979,18564,,,,
102,trans,3364,21982,0.146239817,18618,,,,
102,trans,26636,31291,0.149902,4655,,,,
103,mux,1127,56927,0.127727985,55800,,,,
103,trans,1091,56945,0.109905909,55854,,,,
104,mux,5800,15109,0.202637,9309,,,,
104,mux,19564,28855,0.3208005,9291,,,,
104,trans,5582,14891,0.151367,9309,,,,
104,trans,33509,38164,0.26709,4655,,,,
104,trans,19545,28873,0.3295895,9328,,,,
105,mux,-2399,6909,0.2973635,9308,,,,
105,trans,-2690,6618,0.2736815,9308,,,,
107,mux,13964,32582,0.046386724,18618,,,,
107,mux,236,14200,0.080729,13964,,,,
107,trans,0,32582,0.048060511,32582,,,,
108,mux,1400,38582,0.168150239,37182,,,,
108,mux,24073,28727,0.172363,4654,,,,
108,mux,24109,28764,0.177734,4655,,,,
108,mux,22473,27127,0.233887,4654,,,,
108,trans,1345,38582,0.17022598,37237,,,,
108,trans,24073,28727,0.194336,4654,,,,
108,trans,24109,28764,0.204102,4655,,,,
108,trans,22491,27145,0.223145,4654,,,,
109,mux,19909,29218,0.0966795,9309,,,,
109,mux,-1581,40109,0.162324801,41690,,,,
109,mux,49418,63382,0.243976677,13964,,,,
109,trans,19909,29218,0.088135,9309,,,,
109,trans,-1781,40109,0.135090131,41890,,,,
109,trans,49418,63382,0.241534906,13964,,,,
110,mux,1327,43036,0.188146796,41709,,,,
110,trans,5800,43036,0.162841415,37236,,,,
111,mux,-2199,39691,0.140190542,41890,,,,
111,trans,-2199,39691,0.135524612,41890,,,,
112,mux,-490,32018,0.220145423,32508,,,,
112,trans,-544,32036,0.221680021,32580,,,,
113,mux,16345,30309,0.212239667,13964,,,,
113,mux,-2108,11855,0.288899667,13963,,,,
113,trans,-2272,30309,0.242953171,32581,,,,
114,mux,-35,9273,0.1159665,9308,,,,
114,mux,13891,27855,0.184082,13964,,,,
114,trans,-72,9236,0.120117,9308,,,,
114,trans,13891,27855,0.17985,13964,,,,
115,mux,1691,48091,0.213870843,46400,,,,
115,trans,1545,48091,0.22178133,46546,,,,
116,mux,26600,54527,0.270182199,27927,,,,
116,mux,-1344,12618,0.282715,13962,,,,
116,trans,-1326,12636,0.269531,13962,,,,
116,trans,21945,54527,0.272809071,32582,,,,
117,mux,42436,47091,0.271973,4655,,,,
117,trans,42418,47073,0.26416,4655,,,,
118,mux,-472,27236,0.190019976,27708,,,,
118,trans,-672,27255,0.164790892,27927,,,,
119,mux,14673,61218,0.099659326,46545,,,,
119,mux,1127,15091,0.102379695,13964,,,,
119,trans,727,61236,0.102766321,60509,,,,
120,mux,11473,39400,0.185871051,27927,,,,
120,mux,-2163,7145,0.2236325,9308,,,,
120,trans,11473,39400,0.170815853,27927,,,,
120,trans,-2490,6818,0.2294925,9308,,,,
121,mux,30418,35073,0.1875,4655,,,,
121,mux,-2054,11909,0.260578886,13963,,,,
121,trans,30418,35073,0.190918,4655,,,,
121,trans,2491,11800,0.234375,9309,,,,
122,mux,2091,39164,0.203799001,37073,,,,
122,trans,1945,39182,0.18487851,37237,,,,
123,mux,727,14709,0.183431,13982,,,,
123,mux,46891,51545,0.236328,4654,,,,
123,mux,14309,23618,0.2409665,9309,,,,
123,mux,28273,42236,0.261230667,13963,,,,
123,trans,327,23600,0.202345434,23273,,,,
123,trans,46873,51527,0.223633,4654,,,,
123,trans,28255,42218,0.251139333,13963,,,,
124,mux,59745,64400,0.28418,4655,,,,
124,mux,50418,55073,0.33252,4655,,,,
124,trans,59745,64400,0.287598,4655,,,,
124,trans,50436,55091,0.324707,4655,,,,
125,mux,55,18527,0.137088245,18472,,,,
125,mux,23200,27855,0.286621,4655,,,,
125,trans,-72,18545,0.11999821,18617,,,,
125,trans,23200,27855,0.270996,4655,,,,
126,mux,13182,50400,0.201964753,37218,,,,
